3492,1391 N Milwaukee Ave,"(41.907164; -87.672159)"
1284,1554 E 55th St,"(41.795283; -87.587632)"
5945,1001 N Damen Ave,"(41.899661; -87.677036)"
3241,1932 W Lawrence Ave,"(41.96891; -87.677444)"
1349,2157 W 19th St,"(41.855659; -87.679748)"
2901,1656 W Grace St,"(41.950736; -87.670669)"
3511,2107 W Monroe St,"(41.879836; -87.679424)"
3780,2025 W Roscoe St,"(41.94306; -87.67937)"
119,1501 W Howard St,"(42.01924; -87.668418)"
483,1943 W North Ave,"(41.910339; -87.676622)"
1340,2211 W 18th Pl,"(41.85655; -87.681317)"
2605,200 W Division St,"(41.90396; -87.634688)"
4993,1365 E 53rd St,"(41.799399; -87.592391)"
251,1650 W Foster Ave,"(41.976289; -87.670864)"
6311,201 S Michigan Ave,"(41.879487; -87.624195)"
4118,1147 N Western Ave,"(41.902305; -87.686813)"
2894,2 E Garfield Blvd,"(41.794757; -87.625519)"
7419,10248 S Ewing Ave,"(41.709081; -87.535447)"
4473,1800 W Lunt Ave,"(42.009089; -87.676002)"
1516,1800 E 79th St,"(41.75163; -87.580739)"
899,1465 S Michigan Ave,"(41.862619; -87.623868)"
3438,101 S Michigan Ave,"(41.880788; -87.624191)"
2449,2009 N Clybourn Ave,"(41.917976; -87.659107)"
876,213 N Morgan St,"(41.885806; -87.651946)"
4938,2245 N McVicker Ave,"(41.921251; -87.776662)"
4933,1234 N Monticello Ave,"(41.903415; -87.717946)"
3324,210 S Loomis St,"(41.878755; -87.66211)"
5261,1735 W Harrison St,"(41.874058; -87.670545)"
4040,1134 W Washington Blvd,"(41.883124; -87.655743)"
6518,2222 W North Ave,"(41.910493; -87.683225)"
4150,1830 W Wilson Ave,"(41.965294; -87.675129)"
5245,1526 E 55th St,"(41.79538; -87.588061)"
4074,1563 N Wells St,"(41.910364; -87.634518)"
2907,1127 W Grand Ave,"(41.890955; -87.655565)"
1512,1364 W 79th St,"(41.750522; -87.657252)"
5504,1655 W Division St,"(41.903158; -87.669425)"
